URL,Size (Bytes),# of Outlinks,Content Type
https://www.usatoday.com/story/sports/highschool/2019/06/13/hockey-two-teen-brothers-hockey-players-dead-same-day-opioids/1443781001/,141078,141,text/html
https://www.usatoday.com/story/tech/2013/05/17/tech-stocks-5-17/2193197/,102702,137,text/html
https://www.usatoday.com/videos/travel/destinations/2013/06/21/2445501/,151805,106,text/html
https://www.usatoday.com/story/sports/nascar/2016/07/02/brad-keselowski-gets-his-first-win-daytona/86647506/,115974,137,text/html
https://www.usatoday.com/story/life/people/2013/01/21/michelle-obama-inaugural-gown-jason-wu/1853587/,107793,133,text/html
https://www.usatoday.com/story/sports/ncaaf/2017/07/25/hugh-freeze-ole-miss-faith-religion-jesus-christ/508246001/,111723,136,text/html
https://www.usatoday.com/story/sports/nfl/columnist/bell/2013/07/29/new-york-jets-mark-sanchez-geno-smith/2598077/,114011,135,text/html
https://www.usatoday.com/picture-gallery/news/world/2017/11/20/jimi-hendrixs-restored-apartment-opens-to-the-public-in-london/107882476/,151445,104,text/html
https://www.usatoday.com/story/money/business/2013/11/15/josabank-withdraws-mens-wearhouse-bid/3574127/,108059,133,text/html
https://www.usatoday.com/story/travel/flights/2013/11/15/best-art-airports-10best-readers-choice/3519339/,101404,132,text/html
https://www.usatoday.com/story/money/cars/2013/07/30/most-stolen-luxury-cars/2598657/,102416,131,text/html
https://www.usatoday.com/story/news/world/2013/07/30/egypt-protests-morsi/2599017/,108798,133,text/html
https://www.usatoday.com/videos/news/nation/2013/11/15/3561643/,151595,106,text/html
https://www.usatoday.com/sports/ncaab/sagarin/2008/team/,368525,289,text/html
https://www.usatoday.com/story/cruiselog/2013/06/21/viking-star-steel-cutting/2445787/,88255,114,text/html
https://www.usatoday.com/story/news/nation/2013/06/20/fbi-no-investigation-hastings/2444101/,110473,133,text/html
https://www.usatoday.com/story/news/world/2013/11/15/china-one-child-policy/3570593/,109650,133,text/html
https://www.usatoday.com/story/opinion/2013/04/18/kermit-gosnell-irs-tax-fraud-your-say/2095167/,87601,113,text/html
https://www.usatoday.com/staff/2684074001/kameel-stanley/?page=2,148471,108,text/html
https://www.usatoday.com/story/sports/mlb/2013/02/08/the-next-knuckler-mlb-network-david-greene-doug-flutie/1902023/,106275,131,text/html
https://www.usatoday.com/videos/life/2013/11/28/3775231/,151075,106,text/html
https://www.usatoday.com/story/news/politics/2013/05/17/irs-tea-party-issues-not-resolved/2192911/,113774,136,text/html
https://www.usatoday.com/story/life/books/2019/04/22/alice-feeney-i-know-who-you-are-thriller-book-review/3484919002/,106943,132,text/html
https://www.usatoday.com/videos/news/2013/04/19/2095783/,151137,106,text/html
https://www.usatoday.com/story/cybertruth/2013/05/17/phishing-rise-cybersecurity-id-theft/2193111/,106577,134,text/html
https://www.usatoday.com/story/news/nation/2013/04/19/timeline-boston-marathon-suspects/2096123/,100543,132,text/html
https://www.usatoday.com/story/entertainment/movies/2019/08/12/good-boys-rated-r-but-can-kids-see-it/1980649001/,120998,138,text/html
https://www.usatoday.com/videos/news/2013/11/28/3775377/,151319,106,text/html
https://www.usatoday.com/story/sports/mlb/2013/05/17/tigers-justin-verlander-career-worst-inning-rangers/2193141/,115149,137,text/html
https://www.usatoday.com/story/opinion/2013/04/18/gun-background-checks-your-say/2095195/,85886,110,text/html
https://www.usatoday.com/story/entertainment/movies/2020/02/11/every-dc-superhero-movie-definitively-ranked-best-worst/4720564002/,135890,150,text/html
https://www.usatoday.com/story/sports/nfl/2013/05/17/mike-goodson-arrested-new-york-jets/2194059/,106926,132,text/html
https://www.usatoday.com/story/money/2020/02/10/equifax-breach-freeze-your-credit-china-military-hack/4712954002/,116534,146,text/html
https://www.usatoday.com/picture-gallery/sports/2019/01/08/sports-figures-we-lost-obituaries-obits-2019/2460814002/,186801,104,text/html
https://www.usatoday.com/story/news/politics/2019/11/18/donald-trump-physician-calls-unexpected-walter-reed-visit-routine/4230055002/,109870,138,text/html
https://www.usatoday.com/story/news/nation/2013/12/24/missing-student-lauren-spierer-lawsuit/4187253/,105820,134,text/html
https://www.usatoday.com/story/sports/olympics/rio-2016/2016/08/14/simone-biles-womens-vault-event-final/88718514/,105220,131,text/html
https://www.usatoday.com/story/news/world/2013/12/24/un--mss-grave-south-sudan/4187693/,111759,133,text/html
https://www.usatoday.com/videos/news/nation/2013/09/11/2796187/,151408,106,text/html
https://www.usatoday.com/videos/money/business/2013/04/19/2096071/,151289,106,text/html
https://www.usatoday.com/story/sports/mlb/2013/02/07/felix-hernandez-big-contract-paves-path-for-mlb-pitchers/1900883/,109195,132,text/html
https://www.usatoday.com/staff/4388270002/kelly-tyko/?page=3,162907,111,text/html
https://www.usatoday.com/story/entertainment/movies/2020/01/30/every-horror-movie-2020-definitively-ranked/2857861001/,141368,141,text/html
https://www.usatoday.com/sitemap/2013/november/16/,195573,308,text/html
https://www.usatoday.com/staff/4388270002/kelly-tyko/?page=1,176676,110,text/html
https://www.usatoday.com/story/life/music/2013/05/17/obamas-to-honor-carole-king-at-white-house/2194007/,106379,132,text/html
https://www.usatoday.com/story/sports/columnist/brennan/2013/11/28/christine-brennan-heisman-mccarron/3776411/,119345,137,text/html
https://www.usatoday.com/story/news/politics/2019/08/13/stacey-abrams-announces-voter-protection-program-passes-2020-bid/2004859001/,117520,136,text/html
https://www.usatoday.com/picture-gallery/travel/destinations/2013/05/17/photos-san-franciscos-waterfront-offers-fresh-take-on-familiar-sites/2193357/,153752,104,text/html
https://www.usatoday.com/story/sports/nba/2020/01/22/kobe-bryant-lebron-james-nba-scoring-record/4512426002/,121654,141,text/html
https://www.usatoday.com/sitemap/2013/august/7/,194579,308,text/html
https://www.usatoday.com/story/sports/nba/lakers/2019/06/15/anthony-davis-traded-lakers-pelicans-lonzo-ball-nba-deal/1467746001/,118149,146,text/html
https://www.usatoday.com/staff/2648365001/ashley-shaffer/?page=1,175312,110,text/html
https://www.usatoday.com/sitemap/2013/april/18/,196107,306,text/html
https://www.usatoday.com/sitemap/2013/october/13/,195931,308,text/html
https://www.usatoday.com/story/news/world/2015/03/19/tunisia-gunman-known-intelligence/25006627/,116002,132,text/html
https://www.usatoday.com/staff/2647286001/kelsey-bloom/?page=2,148467,108,text/html
https://www.usatoday.com/story/sports/nascar/2013/07/02/mark-martin-daytona-nascar-sprint-cup/2484919/,126060,138,text/html
https://www.usatoday.com/sitemap/2013/november/15/,195510,309,text/html
https://www.usatoday.com/story/travel/advice/2019/11/08/why-economy-passengers-should-stop-reclining-their-airline-seats/4158135002/,131495,140,text/html
https://www.usatoday.com/media/latest/photos/travel/cruises/,236462,179,text/html
https://www.usatoday.com/story/money/usaandmain/2020/02/12/small-business-prospectors-potential-clients/4729465002/,115253,139,text/html
https://www.usatoday.com/story/news/world/2016/07/13/iran-nuclear-deal-year-later/86978502/,128034,136,text/html
https://www.usatoday.com/story/opinion/2017/08/14/hyping-draft-climate-studies-editorials-debates/104607052/,108436,135,text/html
https://www.usatoday.com/videos/news/2013/09/11/2798555/,151195,106,text/html
https://www.usatoday.com/story/dispatches/2013/04/19/boston-travel-airlines-amtrak-manhunt-terrorist/2096279/,92673,121,text/html
https://www.usatoday.com/story/travel/experience/food-and-wine/2018/08/10/guinness-beer-brewery-maryland/947318002/,111471,134,text/html
https://www.usatoday.com/story/sports/wnba/2020/01/28/dream-allowing-angel-mccoughtry-to-test-wnba-free-agency/41080317/,102505,131,text/html
https://www.usatoday.com/story/news/nation/2013/05/31/iowa-town-takes-flooding-in-stride/2378689/,111944,134,text/html
https://www.usatoday.com/story/sports/mlb/redsox/2013/09/10/boston-red-sox-tampa-bay-rays-al-east-wild-card-clay-buchholz/2796433/,114064,133,text/html
https://www.usatoday.com/story/gameon/2013/04/18/nfl-schedule-2013-bad/2095289/,85031,114,text/html
https://www.usatoday.com/story/news/world/2017/02/15/russian-spy-ship-spotted-near-us/97939010/,107906,136,text/html
https://www.usatoday.com/sitemap/2013/september/17/,194796,307,text/html
https://www.usatoday.com/videos/news/nation/2013/11/27/3773351/,151211,106,text/html
https://www.usatoday.com/videos/sports/tennis/2013/06/01/2380933/,151340,106,text/html
https://www.usatoday.com/story/opinion/2013/12/12/pope-francis-your-say/4006117/,89351,111,text/html
https://www.usatoday.com/sitemap/2013/july/4/,194766,308,text/html
https://www.usatoday.com/story/money/markets/2016/04/14/11-ceos-bust-through-30m--year-barrier/82956426/,112295,131,text/html
https://www.usatoday.com/sitemap/2013/august/4/,196354,308,text/html
https://www.usatoday.com/sitemap/2013/october/19/,194457,299,text/html
https://www.usatoday.com/videos/news/nation/2013/12/24/4188273/,151529,106,text/html
https://www.usatoday.com/story/news/world/2015/02/20/islamic-state-libya/23728623/,110256,136,text/html
https://www.usatoday.com/story/sports/ncaaf/recruiting/2020/02/05/michigan-state-luke-fickell-evan-prater-cincinnati/4669378002/,116375,134,text/html
https://www.usatoday.com/videos/news/2013/09/11/2798027/,151297,106,text/html
https://www.usatoday.com/sitemap/2013/september/18/,195431,309,text/html
https://www.usatoday.com/story/news/nation/2019/04/02/flint-water-crisis-residents-can-sue-former-michigan-governor/3339731002/,111022,139,text/html
https://www.usatoday.com/story/news/2013/06/01/in-search-of-that-rarest-of-things-high-yield-accounts/2373181/,108756,134,text/html
https://www.usatoday.com/story/sports/ncaaf/2013/09/11/oklahoma-state-sports-illustrated-report-part-2-academic-misconduct/2797433/,116281,139,text/html
https://www.usatoday.com/sports/ncaab/polls/coaches-poll/1991-1992/,101654,163,text/html
https://www.usatoday.com/videos/news/nation/2013/12/24/4188275/,151626,106,text/html
https://www.usatoday.com/sitemap/2013/july/5/,194246,307,text/html
https://www.usatoday.com/sitemap/2013/august/5/,194109,307,text/html
https://www.usatoday.com/videos/news/nation/2013/12/13/4005841/,150867,106,text/html
https://www.usatoday.com/videos/opinion/2013/12/24/4189335/,150570,105,text/html
https://www.usatoday.com/story/news/world/2013/06/01/scuffles-arrests-in-uk-soldier-death-protests/2380681/,104184,132,text/html
https://www.usatoday.com/story/life/people/2013/09/11/stars-share-thoughts-remember-911/2797473/,101834,134,text/html
https://www.usatoday.com/story/money/business/2013/12/24/durable-goods-orders/4187973/,103058,133,text/html
https://www.usatoday.com/videos/virtual-reality/vrtually-there/2017/06/14/vr-learn-why-worlds-largest-musical-instrument-cave/102850622/,223389,134,text/html
https://www.usatoday.com/story/life/people/2019/04/26/zac-efron-ted-bundy-serial-killer-extremely-wicked-shockingly-evil-vile/3585542002/,110455,133,text/html
https://www.usatoday.com/sports/ncaab/polls/coaches-poll/1999-2000/,101563,163,text/html
https://www.usatoday.com/story/travel/destinations/2020/02/11/united-kingdom-whats-new-2020-how-brexit-impacting-tourism/4713803002/,129050,152,text/html
https://www.usatoday.com/picture-gallery/sports/nfl/2013/06/04/deacon-jones-legendary-career-in-photos/2387309/,150151,104,text/html
https://www.usatoday.com/story/sports/tennis/2013/06/01/djokovics-first-coach-gencic-dies/2380923/,103099,132,text/html
https://www.usatoday.com/videos/money/2018/12/26/holiday-shopping-strongest-years/38797467/,151095,106,text/html
https://www.usatoday.com/story/entertainment/books/2020/02/07/barnes-noble-criticized-literary-blackface-diverse-editions-covers/4692233002/,114832,143,text/html
https://www.usatoday.com/story/travel/experience/america/theme-parks/2020/02/02/kings-islands-new-orion-roller-coaster-numbers/4624900002/,111720,135,text/html
https://www.usatoday.com/story/money/2020/02/14/trump-administration-considering-plan-increase-investing-stocks/4763945002/,112975,137,text/html
https://www.usatoday.com/story/money/business/2013/06/04/eu-tariffs-chinese-solar/2387951/,109757,132,text/html
https://www.usatoday.com/videos/news/2013/06/01/2379041/,151059,106,text/html
https://www.usatoday.com/story/news/nation/2013/09/10/california-wildfire-clover/2796157/,104931,131,text/html
https://www.usatoday.com/story/sports/highschool/2020/02/11/atlanta-falcons-matt-ryan-usa-today-high-school-sports-awards/4715475002/,107920,137,text/html
https://www.usatoday.com/story/theoval/2013/03/07/obama-holder-drones-rand-paul/1970077/,86461,112,text/html
https://www.usatoday.com/story/news/world/2013/06/04/un-syria-chemical-weapons/2387453/,110735,133,text/html
https://www.usatoday.com/sitemap/2013/august/2/,194212,308,text/html
https://www.usatoday.com/videos/money/cars/2013/03/07/1970521/,151041,106,text/html
https://www.usatoday.com/sitemap/2013/june/20/,194683,309,text/html
https://www.usatoday.com/story/sports/nascar/2016/07/02/coke-zero-400-daytona-big-one-lap-89-crash-jamie-mcmurray/86647160/,113763,139,text/html
